HDFname,Product,Date,Site,ProcessDate,Band,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
MOD15A2.A2000049.fn_usmetypp.005.2006268184918.FparExtra_QC,MOD15A2,A2000049,fn_usmetypp,2006268184918,FparExtra_QC,00001100,00001100,00001100,00001100,00001100,00001100,00001100,00001100,00001100,00001100,00001100,00001100,00001100,01001100,00001100,01001100,00001100,01001100,01001100,01001100,01001100,00001100,01001100,01001100,01001100,01001100,01001100,01001100,01001100,01001100,01001100,01001100,01001100,01001100,01001100,01001100,11001100,01001100,11001100,01001100,01001100,01001100,01001100,01001100,01001100,01001100,01001100,11001100,01001100
MOD15A2.A2000049.fn_usmetypp.005.2006268184918.FparLai_QC,MOD15A2,A2000049,fn_usmetypp,2006268184918,FparLai_QC,00000000,00000000,00000000,00000000,00000000,00000000,01100001,00000000,01100001,00000000,00000000,01100001,01100001,01100001,01100001,01100001,00000000,01100001,01100001,01100001,01100001,01100001,00000000,01100001,01100001,01100001,01100001,01100001,01100001,01100001,01100001,01100001,01100001,01100001,01100001,01100001,00000000,01100001,00000000,01100001,01100001,00000000,01100001,01100001,01100001,00000000,00000000,00000000,00000000
MOD15A2.A2000049.fn_usmetypp.005.2006268184918.FparStdDev_1km,MOD15A2,A2000049,fn_usmetypp,2006268184918,FparStdDev_1km,11,7,9,10,10,6,248,9,248,7,9,248,248,248,248,248,10,248,248,248,248,248,8,248,248,248,248,248,248,248,248,248,248,248,248,248,0,248,0,248,248,7,248,248,248,0,0,0,0
MOD15A2.A2000049.fn_usmetypp.005.2006268184918.Fpar_1km,MOD15A2,A2000049,fn_usmetypp,2006268184918,Fpar_1km,43,53,48,57,59,50,28,46,25,54,66,24,16,28,28,34,70,38,24,26,37,27,53,30,19,16,22,28,36,26,20,20,20,21,22,26,29,22,30,25,28,36,17,19,21,29,28,7,9
MOD15A2.A2000049.fn_usmetypp.005.2006268184918.LaiStdDev_1km,MOD15A2,A2000049,fn_usmetypp,2006268184918,LaiStdDev_1km,2,2,2,2,3,1,248,2,248,2,4,248,248,248,248,248,9,248,248,248,248,248,2,248,248,248,248,248,248,248,248,248,248,248,248,248,0,248,0,248,248,1,248,248,248,0,0,0,0
MOD15A2.A2000049.fn_usmetypp.005.2006268184918.Lai_1km,MOD15A2,A2000049,fn_usmetypp,2006268184918,Lai_1km,6,8,7,9,10,7,6,6,5,8,12,5,3,6,6,8,15,8,5,5,8,6,8,6,4,3,4,6,8,5,4,4,4,4,4,5,3,4,3,5,6,5,3,4,4,3,3,1,1
MOD15A2.A2000057.fn_usmetypp.005.2006270063935.FparExtra_QC,MOD15A2,A2000057,fn_usmetypp,2006270063935,FparExtra_QC,00110000,00110000,00100000,01000000,01000000,01000100,01000100,01001000,01000000,01000000,00001000,00001000,00001000,01001100,01001000,01001000,01001000,00001000,01001100,01001100,01001100,01000000,01001000,01001000,01001000,01001000,01001100,01001100,01000100,01000100,01000100,01000100,01000100,01000100,01001100,01001000,11000100,01000100,11000100,01000100,01000100,01000100,01000100,01000100,00000100,00000100,01000100,10110000,01000000
MOD15A2.A2000057.fn_usmetypp.005.2006270063935.FparLai_QC,MOD15A2,A2000057,fn_usmetypp,2006270063935,FparLai_QC,01101001,01101001,00001000,00010000,00010000,00000000,00000000,01110001,00010000,00010000,01110001,01110001,01110001,01100001,01110001,01110001,01110001,01110001,01100001,01100001,01100001,01100001,01110001,01110001,01101001,01101001,01100001,01100001,01100001,01100001,01100001,01100001,01100001,01100001,01100001,01110001,00000000,01100001,00000000,00000000,01100001,01100001,01100001,01100001,01100001,01100001,01100001,00001000,01101001
MOD15A2.A2000057.fn_usmetypp.005.2006270063935.FparStdDev_1km,MOD15A2,A2000057,fn_usmetypp,2006270063935,FparStdDev_1km,248,248,0,0,0,9,10,248,9,9,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,10,248,9,8,248,248,248,248,248,248,248,8,248
MOD15A2.A2000057.fn_usmetypp.005.2006270063935.Fpar_1km,MOD15A2,A2000057,fn_usmetypp,2006270063935,Fpar_1km,9,9,10,9,9,16,20,21,15,17,25,16,13,24,19,20,32,34,26,25,38,20,27,34,22,18,24,30,25,22,17,19,20,19,20,21,22,18,19,37,23,25,12,14,14,15,14,14,7
